Organization Name,Tech Stack,Topics,Number of Students Accepted
AnkiDroid,"['android', 'java', 'rust', 'kotlin', 'mobile']","['education', 'mobile', 'android', 'user generated content', 'Flashcards']",3
Fortran-lang,"['python', 'c++', 'fortran']","['compilers', 'programming languages', 'build systems', 'libraries', 'Fortran']",5
SageMath,"['python', 'cython']","['mathematics', 'education', 'research']",5
LibreHealth,"['python', 'javascript', 'android', 'java', 'dart/flutter']","['web', 'deep learning', 'hfoss', 'radiology', 'mobile apps']",4
Homebrew,"['linux', 'ruby', 'macos']","['linux', 'package manager', 'macos']",1
The ENIGMA Team,"['opengl', 'c++', 'qt5']","['graphics', 'game development', 'compiler', 'programming', 'game design']",3
MZmine,"['java', 'javafx']","['visualization', 'mass spectrometry', 'biochemistry', 'feature detection', 'ion mobility']",1
Open Robotics,"['ros', 'gazebo', 'ignition', 'Open-RMF']","['robotics', 'simulation']",2
The Honeynet Project,"['python', 'javascript', 'django', 'go', 'docker']","['honeypots', 'malware analysis', 'Threat Intelligence']",6
"Department of Biomedical Informatics, Emory University","['python', 'javascript', 'java', 'workflows', 'dicom']","['science and medicine', 'data integration', 'workflows', 'radiology', 'distributed system']",8
GNU Radio,"['python', 'c++', 'qt', 'simd']","['real-time', 'dsp', 'communications engineering', 'cybersecurity', 'Software-Defined Radio']",1
Global Alliance for Genomics and Health,"['python', 'postgresql', 'java', 'react', 'rust']","['web', 'genomics', 'bioinformatics', 'genetics', 'standards']",8
QEMU,"['c', 'python', 'linux', 'rust']","['systems programming', 'kernel', 'compiler', 'emulator', 'hypervisor']",4
DBpedia,"['python', 'javascript', 'java', 'scala', 'rdf']","['natural language processing', 'semantic web', 'linked data', 'knowledge graph', 'data extraction']",4
Open Genome Informatics,"['python', 'mysql', 'react', 'r-project', 'graph']","['genomics', 'bioinformatics', 'cloud', 'biology', 'data discovery']",2
LibreCube Initiative,"['python', 'mongodb', 'rest', 'micropython', 'zmq']","['space', 'cubesat', 'mission control', 'Communication Protocols']",1
MetaBrainz Foundation Inc,"['python', 'react', 'perl', 'postgres', 'spark']","['open data', 'music', 'books', 'Music recommendation', 'music social network']",7
INCF,"['python', 'javascript', 'java', 'c++', 'gpu']","['machine learning', 'data visualization', 'neuroscience', 'brain modelling', 'neuroimage processing']",35
Jitsi,"['javascript', 'java', 'react', 'webrtc', 'react native']","['video conferencing', 'WebRTC']",6
KDE Community,"['c++', 'qt', 'qml', 'data structures']","['education', 'science', 'applications', 'desktop environment']",6
Kart Project,"['python', 'c++', 'git', 'gis']","['version control', 'gis', 'data', 'point clouds', 'spatial']",1
Blender Foundation,"['c', 'python', 'opengl', 'c++', 'vulkan']","['games', 'graphics', '3d', 'rendering', 'animation']",3
RADAR-base,"['java', 'kotlin', 'docker', 'angular', 'kafka']","['web', 'mhealth', 'remote patient monitoring', 'micro-services', 'devices']",3
Polypheny,"['javascript', 'java', 'sql', 'angular']","['database', 'big data', 'cloud', 'polystore', 'nosql']",3
Society for Arts and Technology (SAT),"['python', 'javascript', 'opengl', 'c++', 'supercollider']","['web', 'graphics', 'cloud', 'multimedia', 'accessibility']",3
GNU Compiler Collection (GCC),"['c/c++', 'gnu make', 'gnu autotools']","['compilers', 'developer tools', 'toolchain', 'openmp', 'link time optimization']",3
Joomla!,"['mysql', 'javascript', 'html', 'php', 'css']","['web', 'programming languages', 'web development', 'web applications', 'cms']",4
Keptn,"['golang', 'kubernetes', 'angular', 'Helm']","['cloud', 'devops', 'sre', 'CloudNative', 'Operations']",3
Semi Technologies,"['python', 'machine learning', 'golang', 'vectors', 'natural language processing']","['machine learning', 'Vector Database', 'Search Engines']",3
GitLab,"['javascript', 'ruby on rails', 'go', 'ruby', 'vue']","['cloud', 'devops']",3
CCExtractor Development,"['c', 'linux', 'rust', 'flutter']","['video', 'subtitles', 'mobile', 'peer to peer']",10
CHIPS Alliance,"['fpga', 'chisel', 'risc-v', 'systemverilog', 'ASIC']","['soc', 'IP cores', 'ASIC design', 'HDL', 'chiplets']",3
The Linux Foundation,"['c', 'linux', 'c++', 'cups', 'ipp']","['kernel', 'automotive', 'printing', 'iio', 'zephyr']",14
Red Hen Lab,"['python', 'machine learning', 'computer vision', 'nlp', 'data science']","['data science', 'media', 'language', 'multimodal communication', 'gesture']",12
Oppia Foundation,"['python', 'android', 'google app engine', 'angular', 'typescript']","['education', 'web', 'community', 'nonprofit', 'social impact']",14
OpenAFS,"['c', 'python', 'git', 'ansible', 'filesystems']","['testing', 'network', 'storage', 'filesystems']",2
NumFOCUS,"['python', 'c++', 'r', 'julia']","['data science', 'graphics', 'scientific computing', 'numerical computation']",37
OSGeo (Open Source Geospatial Foundation),"['c', 'python', 'javascript', 'java', 'c++']","['open science', 'gis', 'citizen science', 'geolocation', 'mapping']",6
